average_edges_size;bad_ratio;bad_angle
0.9626308876480286;240;81
0.9614451624091899;223;70
0.9607012968495288;215;56
0.9603445948462007;198;43
0.9600236901536982;194;39
0.9598985609285261;184;35
0.9596305411096944;173;30
0.9595415493861195;165;27
0.9593571023539366;147;28
0.9593359914266949;134;25
0.9592097160813153;131;26
0.9591780752019858;124;24
0.959097443503962;119;25
0.9590610594610736;120;25
0.9589639178088801;116;23
0.9588970531754304;111;20
0.9588026712947294;106;20
0.9587145879874368;104;20
0.9586609228800347;100;19
0.9585876258205254;96;17
0.9585133634365041;97;17
0.9584438567190845;91;17
0.958380533140419;88;17
0.9583266234703385;84;17
0.9582827127423598;78;16
0.9582368323247145;78;16
0.9582149960465222;72;16
0.9581741083039245;70;16
0.9581346291873521;71;16
0.9581009878682262;69;14
0.9581041437754273;70;14
0.9580627502849745;70;13
0.9580391134832541;68;13
0.958001892557921;69;15
0.9579677138901194;70;16
0.9579339408063914;70;15
0.9579004342531886;67;14
0.9578588275803794;66;14
0.9578186780854505;66;13
0.9577834445149901;64;13
0.9577482930399592;62;12
0.9577149279569719;61;11
0.9576831431202173;59;11
0.9576496944114249;58;11
0.9576217934229752;58;11
0.9575988870530502;57;11
0.9575608803164325;58;11
0.9575384009914896;58;11
0.9574963065209243;58;11
0.9574751805875739;59;11
0.9574548443307189;59;12
0.9574403927228508;58;12
0.9574244566740053;57;11
0.957394142182957;57;11
0.9573796602689515;57;11
0.9573643501264922;56;12
0.9573475214484254;55;12
0.9573376140836509;56;12
0.9573266639550967;55;12
0.9573131921510469;55;12
0.9573062928597189;55;12
0.9572983165587209;55;12
0.9572872839163415;56;12
0.9572833976013042;55;12
0.9572786048543076;55;11
0.957271120312188;55;11
0.9572632091644361;55;11
0.957254336867521;55;11
0.957241481587953;55;11
0.9572357604634866;55;12
0.9572291237297178;55;11
0.9572182671782816;55;12
0.957211314181464;56;12
0.9572044502018585;55;11
0.9571901567388933;55;12
0.957183046133323;56;12
0.9571776745119824;55;13
0.95716636480328;55;13
0.9571625007205065;56;12
0.9571541746951856;54;13
0.9571513761496782;55;14
0.9571450265704599;55;14
0.9571345258433326;57;13
0.9571290371429831;54;12
0.9571110687088388;52;12
0.9570944770607629;53;12
0.9570862679810105;52;11
0.9570713718473506;51;12
0.957059167333825;51;12
0.957049929427793;52;12
0.9570378260348024;52;13
0.9570480544195226;53;12
0.9570323678241283;54;13
0.9570248078367514;54;13
0.9570179994971086;53;12
0.957004437281245;52;13
0.956999432065069;52;12
0.9569882729522619;52;12
0.9569826660549452;51;13
0.9569756019030732;51;12
0.9569665271995543;53;13
0.9569660364021997;53;12
0.956958903263768;52;12
0.9569548824591773;51;13
0.9569534516524806;52;12
0.9569497452630775;52;13
0.9569522487287904;51;12
0.9569347449421243;51;12
0.9569311166582556;52;13
0.9569296018590712;52;12
0.9569242080666922;51;12
0.9569220254955214;51;12
0.956915188164253;53;12
0.9569174166763724;53;12
0.9569121207195153;52;12
0.9569102532788184;52;12
0.9569100095023367;53;12
0.9569076336944459;53;12
0.9569110060227759;52;13
0.956906075881349;52;14
0.9569074573202795;53;14
0.9569015002783613;53;13
0.9568983902145088;53;12
0.9568927945596761;52;12
0.9568817745836721;53;12
0.9568784305327861;53;12
0.9568687081528785;52;12
0.9568640320496655;52;12
0.956852225946365;53;12
0.9568504726425279;53;12
0.9568404958758904;53;12
0.9568368397202428;52;13
0.9568310315597556;52;13
0.9568232414170329;53;13
0.9568226924225026;53;12
0.9568074716782946;52;12
0.9568031484075941;52;12
0.956792743704185;52;12
0.9567922919156122;52;12
0.9567841124777083;51;12
0.9567818226623024;50;12
0.9567771355939533;50;13
0.9567535104771975;51;13
0.9567624323414982;51;13
0.9567544850611989;50;13
0.9567505406359023;50;13
0.9567403690797522;51;13
0.9567408873080443;51;13
0.9567318998072671;50;12
0.956709042017067;49;12
0.9567107101028514;49;12
0.956707400152574;50;12
0.9567052380331696;50;12
0.9566988573823935;50;12
0.9566978427035114;50;13
0.9566711883262614;49;13
0.9566837372524439;50;13
0.9566785849392616;50;13
0.9566799630825765;50;13
0.9566723531809037;48;12
0.9566560379356087;50;12
0.9566616837947595;49;12
0.9566592757264485;49;12
0.9566563351563427;49;13
0.9566305886482271;49;13
0.956640655559741;50;13
0.9566347356405843;50;13
0.956634441860009;50;12
0.9566105048102824;49;12
0.9566215601334129;49;12
0.9566148074663232;50;12
0.9566176198748907;49;13
0.9565954772654519;50;13
0.9566099801689573;49;13
0.9566024577119041;49;13
0.9565940958731007;50;12
0.9565754733368851;50;12
0.9565819586881101;50;12
0.9565823377000521;49;13
0.9565565646514647;49;13
0.9565689243843716;50;13
0.956563759403093;50;12
0.9565495360025841;50;12
0.9565567171909899;51;11
0.9565586974550101;49;12
0.9565366143130952;51;12
0.9565523509655668;50;12
0.9565475068176137;50;11
0.9565223514897465;50;11
0.9565301638228451;50;11
0.956520370625869;53;12
0.9565022059570925;52;12
0.9565076139496002;52;12
0.9565097245470734;49;11
0.9564803115433377;50;11
0.9564856526507393;50;11
0.9564723747997126;51;12
0.9564525346843484;51;12
0.9564596418924248;49;12
0.9564491604696485;49;11
0.9564278800512882;50;11
0.9564335387901409;50;11
0.9564340037149006;50;12
0.9564099572084772;50;13
0.9564230773632066;49;13
0.9564161591097197;51;11
0.9563966521342161;50;11
0.956401402674401;50;11
0.9563996305345581;50;12
0.9563802389538076;49;12
0.9563852149278511;50;12
0.9563846491108801;50;11
0.9563612677527573;50;11
0.9563760511599794;49;11
0.9563705347750864;49;12
0.9563526255306188;48;12
0.9563588805679035;50;12
0.95636236765891;49;11
0.95633872470247;49;11
0.9563529357925851;48;11
0.9563541438721356;47;12
0.9563299810391783;49;12
0.956345080938472;49;11
0.9563262111138274;49;11
0.9563422376572575;49;11
0.9563392612684992;49;12
0.9563242393602763;48;12
0.9563328027697038;50;12
0.9563388998640705;49;11
0.9563176713952787;49;11
0.9563344593215888;49;13
0.9563216036327659;48;13
0.9563297607360991;49;13
0.9563333272958896;49;12
0.9563137986413246;50;12
0.9563324575416571;49;13
0.9563146109031241;49;13
0.9563305977294412;48;13
0.9563268317427164;50;12
0.9563129274454666;50;13
0.9563301291740106;50;13
0.956314102065138;50;13
0.9563312651920526;49;13
0.9563281740134751;50;12
0.9563148788167309;50;12
0.9563273018800743;51;13
0.956318234638453;50;13
0.956328802870486;51;13
0.9563360784853225;49;12
0.9563139984473464;50;12
0.9563310227556414;50;14
0.9563207564646048;50;13
0.9563334869232352;50;14
0.9563402976041033;49;12
0.9563204848567176;50;13
0.9563380334408074;50;13
0.9563202085358864;51;13
0.9563380370201389;50;13
0.9563339490146977;51;12
0.9563192044594638;49;12
0.9563249430835581;50;13
0.9563085376682264;50;14
0.9563220747794513;50;13
0.9563186637752369;50;13
0.9563026009681037;50;12
0.9563116129687766;50;14
0.9562958824019422;50;13
0.9563020457925262;52;14
0.9563057575257427;51;12
0.9562823196407265;51;13
0.9562970402283633;51;14
0.9562823804145807;49;14
0.9562894437802251;50;13
0.9562759183548306;50;13
0.956285065065027;51;13
0.9562893572411436;50;14
0.9562679262789926;51;14
0.956286027967064;49;12
0.9562641972945054;50;13
0.9562805985333603;49;12
0.9562778556806777;49;14
0.9562625576774731;49;14
0.9562794954059948;49;13
0.9562622100213026;48;13
0.9562768771614185;49;14
0.9562588030993462;50;14
0.9562771059195249;49;14
0.9562761122118942;50;13
0.956264718802129;49;13
0.9562769952188098;49;14
0.9562660389280543;49;14
0.9562761277743145;49;13
0.9562632150221989;49;13
0.9562783054497567;48;13
0.9562770830154866;48;14
0.9562598481073084;47;14
0.9562656483792579;49;13
0.9562503244856249;48;13
0.9562573101504813;49;14
0.956244124689443;48;14
0.9562500151978744;49;14
0.956252852966837;47;13
0.9562258202652193;48;13
0.9562382620375663;48;14
0.9562228281561409;48;14
0.9562308342876434;48;13
0.9562168369911335;48;13
0.9562237221312025;48;13
0.9562239644823757;48;14
0.9561994098383233;49;14
0.9562167556904161;47;13
0.9561957326255017;47;13
0.9562121061087552;46;14
0.9561915385947949;45;14
0.956202778633242;47;13
0.9561882034342368;46;13
0.9561980207812004;47;13
0.9562023378593154;46;14
0.9561814660894036;48;14
0.9561999082202033;45;13
0.9561787414170079;48;13
0.9561954335771561;46;14
0.9561773799052686;47;14
0.9561928365416131;47;13
0.9561810294300331;46;13
0.9561920277466645;46;13
0.9561950500123287;46;14
0.9561740998166913;48;14
0.9561938324954555;46;13
0.9561760568809057;48;13
0.9561947577524335;46;14
0.9561771361670539;47;14
0.9561936515358747;46;13
0.9561748483730739;49;13
0.9561913086086271;49;13
0.9561961552615296;48;14
0.9561777281031775;50;14
0.95619717440087;47;13
0.9561779785418945;50;13
0.9561956049816362;48;14
0.9561791469202389;50;14
0.9561983069873456;48;13
0.9561814916506447;50;13
0.9562007539372087;47;14
0.9561817085824502;49;14
0.9561970035243778;50;14
0.9562028050381457;49;13
0.9561850407502432;51;13
0.9562051708613433;49;14
0.9561887267556516;50;14
0.9562061435818691;49;13
0.9561885338361765;51;13
0.9562086597233621;49;15
0.9561925243572346;50;15
0.9562276670914716;48;14
0.9562089143988085;48;14
0.9562214705492408;49;14
0.9562235608315927;49;15
0.9562039942243608;50;15
0.956222161649382;48;14
0.9562035805049968;50;14
0.9562210105508298;48;15
0.956200287464098;50;15
0.9562164434727208;49;14
0.9561982378999523;50;14
0.9562160047538113;49;15
0.956197347976741;49;15
0.956212261339654;48;14
0.9561981119191989;49;14
0.956207148622189;51;14
0.9562124688369681;50;15
0.9561921625319668;51;15
0.9562110980585129;50;14
0.9561923663795971;50;14
0.9562084009682809;50;15
0.9561885694291611;50;15
0.9562071663501519;48;14
0.9561840485332076;48;14
0.9561984203093554;48;15
0.9561857065886834;48;15
0.9561935984287563;50;14
0.9561810387265992;49;14
0.9561908304819629;50;15
0.956180435364428;49;15
0.9561894426245117;50;14
0.956179411039899;48;14
0.9561859450228434;50;14
0.9561904607900956;49;15
0.956169206538228;49;15
0.9561859332972946;49;14
0.956172913642132;50;14
0.9561838740604841;50;15
0.9561703964476868;50;15
0.9561789826535223;51;14
0.9561687467296108;50;14
0.9561782665765477;51;15
0.9561681769173062;50;15
0.9561771611841952;50;14
